kegg_function,kegg
Organic anion biosynthesis,K22478
Organic anion biosynthesis,K00145
Organic anion biosynthesis,K00821
Organic anion biosynthesis,K09065
Organic anion biosynthesis,K01438
Organic anion biosynthesis,K01940
Organic anion biosynthesis,K01755
Organic anion biosynthesis,2.6.1.1
Organic anion biosynthesis,2.6.1.5
Organic anion biosynthesis,2.6.1.27
Organic anion biosynthesis,2.6.1.57
Organic anion biosynthesis,1.13.11.27
Organic anion biosynthesis,1.13.11.5
Organic anion biosynthesis,5.2.1.2
Organic anion biosynthesis,3.7.1.2
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K05942
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00030
Organic anion biosynthesis,K00164+K00658
Organic anion biosynthesis,K01616+K00382
Organic anion biosynthesis,K00174+K00175
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K01899+K01900
Organic anion biosynthesis,K18118
Organic anion biosynthesis,K00234+K00235+K00236+K00237
Organic anion biosynthesis,K25801
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K00244+K00245+K00246
Organic anion biosynthesis,K01676
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K00116
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K05942
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00030
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K01637
Organic anion biosynthesis,K01638
Organic anion biosynthesis,K19282
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00261
Organic anion biosynthesis,K19268+K01846
Organic anion biosynthesis,K04835
Organic anion biosynthesis,K19280
Organic anion biosynthesis,K14449
Organic anion biosynthesis,K19281
Organic anion biosynthesis,K19282
Organic anion biosynthesis,K00024
Organic anion biosynthesis,1.1.1.27
Organic anion biosynthesis,1.1.1.22
Organic anion biosynthesis,1.1.1.28
Vitamin biosynthesis,K03148+K03154
Vitamin biosynthesis,K03151
Vitamin biosynthesis,K03150
Vitamin biosynthesis,K03149
Vitamin biosynthesis,K03147
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K14153
Vitamin biosynthesis,K21219
Vitamin biosynthesis,K00946
Vitamin biosynthesis,K03148+K03154
Vitamin biosynthesis,K03151
Vitamin biosynthesis,K03153
Vitamin biosynthesis,K03149
Vitamin biosynthesis,K10810
Vitamin biosynthesis,K03147
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K00946
Vitamin biosynthesis,K22699
Vitamin biosynthesis,K03147
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K21220
Vitamin biosynthesis,K21219
Vitamin biosynthesis,K00946
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K14153
Vitamin biosynthesis,K21219
Vitamin biosynthesis,K01497
Vitamin biosynthesis,K14652
Vitamin biosynthesis,K01498
Vitamin biosynthesis,K00082
Vitamin biosynthesis,K11752
Vitamin biosynthesis,K22912
Vitamin biosynthesis,K20860
Vitamin biosynthesis,K20861
Vitamin biosynthesis,K20862
Vitamin biosynthesis,K21063
Vitamin biosynthesis,K21064
Vitamin biosynthesis,K02858
Vitamin biosynthesis,K14652
Vitamin biosynthesis,K00794
Vitamin biosynthesis,K00793
Vitamin biosynthesis,K20884
Vitamin biosynthesis,K22949
Vitamin biosynthesis,K11753
Vitamin biosynthesis,3.6.1.22
Vitamin biosynthesis,3.2.2.6
Vitamin biosynthesis,3.2.2.4
Vitamin biosynthesis,3.4.1.19
Vitamin biosynthesis,K00826
Vitamin biosynthesis,K00606
Vitamin biosynthesis,K00077
Vitamin biosynthesis,K01579
Vitamin biosynthesis,K01918
Vitamin biosynthesis,K13799
Vitamin biosynthesis,K00606
Vitamin biosynthesis,K00077
Vitamin biosynthesis,K13367
Vitamin biosynthesis,K00128
Vitamin biosynthesis,K01918
Vitamin biosynthesis,K03472
Vitamin biosynthesis,K03473
Vitamin biosynthesis,K00831
Vitamin biosynthesis,K00097
Vitamin biosynthesis,K03474
Vitamin biosynthesis,K00275
Vitamin biosynthesis,K06215
Vitamin biosynthesis,K08681
Vitamin biosynthesis,K00652
Vitamin biosynthesis,K00833
Vitamin biosynthesis,K19563
Vitamin biosynthesis,K01935
Vitamin biosynthesis,K19562
Vitamin biosynthesis,K01012
Vitamin biosynthesis,K00652
Vitamin biosynthesis,K25570
Vitamin biosynthesis,K01935
Vitamin biosynthesis,K01012
Vitamin biosynthesis,K16593
Vitamin biosynthesis,K00652
Vitamin biosynthesis,K19563
Vitamin biosynthesis,K01935
Vitamin biosynthesis,K01012
Vitamin biosynthesis,K01906
Vitamin biosynthesis,K00652
Vitamin biosynthesis,K00833
Vitamin biosynthesis,K19563
Vitamin biosynthesis,K01935
Vitamin biosynthesis,K01012
Vitamin biosynthesis,K01495
Vitamin biosynthesis,K09007
Vitamin biosynthesis,K22391
Vitamin biosynthesis,K01077
Vitamin biosynthesis,K01113
Vitamin biosynthesis,K08310
Vitamin biosynthesis,K19965
Vitamin biosynthesis,K13939
Vitamin biosynthesis,K13940
Vitamin biosynthesis,K01633
Vitamin biosynthesis,K00950
Vitamin biosynthesis,K00796
Vitamin biosynthesis,K01633
Vitamin biosynthesis,K13941
Vitamin biosynthesis,K11754
Vitamin biosynthesis,K20457
Vitamin biosynthesis,K00287
Vitamin biosynthesis,K13998
Vitamin biosynthesis,K14652
Vitamin biosynthesis,K22100
Vitamin biosynthesis,K01633
Vitamin biosynthesis,K13941
Vitamin biosynthesis,K22099
Vitamin biosynthesis,K00287
Vitamin biosynthesis,K02302
Vitamin biosynthesis,K02303
Vitamin biosynthesis,K13542
Vitamin biosynthesis,K02304
Vitamin biosynthesis,K24866
Vitamin biosynthesis,K02190
Vitamin biosynthesis,K03795
Vitamin biosynthesis,K22011
Vitamin biosynthesis,K03394
Vitamin biosynthesis,K05934
Vitamin biosynthesis,K13541
Vitamin biosynthesis,K21479
Vitamin biosynthesis,K05936
Vitamin biosynthesis,K02189
Vitamin biosynthesis,K13541
Vitamin biosynthesis,K02188
Vitamin biosynthesis,K05895
Vitamin biosynthesis,K02191
Vitamin biosynthesis,K03399
Vitamin biosynthesis,K00595
Vitamin biosynthesis,K06042
Vitamin biosynthesis,K02224
Vitamin biosynthesis,K02303
Vitamin biosynthesis,K13542
Vitamin biosynthesis,K03394
Vitamin biosynthesis,K13540
Vitamin biosynthesis,K02229
Vitamin biosynthesis,K05934
Vitamin biosynthesis,K13540
Vitamin biosynthesis,K13541
Vitamin biosynthesis,K05936
Vitamin biosynthesis,K02228
Vitamin biosynthesis,K05895
Vitamin biosynthesis,K00595
Vitamin biosynthesis,K06042
Vitamin biosynthesis,K02224
Vitamin biosynthesis,K02230+K09882+K09883
Vitamin biosynthesis,K00798
Vitamin biosynthesis,K19221
Vitamin biosynthesis,K02232
Vitamin biosynthesis,K02225
Vitamin biosynthesis,K02227
Vitamin biosynthesis,K02231
Vitamin biosynthesis,K00768
Vitamin biosynthesis,K02226
Vitamin biosynthesis,K22316
Vitamin biosynthesis,K02233
Vitamin biosynthesis,K09833
Vitamin biosynthesis,K12502
Vitamin biosynthesis,K18534
Vitamin biosynthesis,K09834
Vitamin biosynthesis,K05928
Vitamin biosynthesis,K02552
Vitamin biosynthesis,K02551
Vitamin biosynthesis,K08680
Vitamin biosynthesis,K02549
Vitamin biosynthesis,K14759
Vitamin biosynthesis,K01911
Vitamin biosynthesis,K14760
Vitamin biosynthesis,K01661
Vitamin biosynthesis,K19222
Vitamin biosynthesis,K12073
Vitamin biosynthesis,K23094
Vitamin biosynthesis,K17872
Vitamin biosynthesis,K23095
Vitamin biosynthesis,K02552
Vitamin biosynthesis,K02551
Vitamin biosynthesis,K08680
Vitamin biosynthesis,K02549
Vitamin biosynthesis,K01911
Vitamin biosynthesis,K01661
Vitamin biosynthesis,K19222
Vitamin biosynthesis,K02548
Vitamin biosynthesis,K03183
Vitamin biosynthesis,K11782
Vitamin biosynthesis,K18285
Vitamin biosynthesis,K18286
Vitamin biosynthesis,K20810
Vitamin biosynthesis,K11783
Vitamin biosynthesis,K11784
Vitamin biosynthesis,K11785
Vitamin biosynthesis,K11782
Vitamin biosynthesis,K18285
Vitamin biosynthesis,K18284
Vitamin biosynthesis,K11784
Vitamin biosynthesis,K11785
Vitamin biosynthesis,K03181
Vitamin biosynthesis,K18240
Vitamin biosynthesis,K03179
Vitamin biosynthesis,K03182+K03186
Vitamin biosynthesis,K18800
Vitamin biosynthesis,K00568
Vitamin biosynthesis,K03185
Vitamin biosynthesis,K03183
Vitamin biosynthesis,K03184
Vitamin biosynthesis,K06134
Vitamin biosynthesis,K00568
Vitamin biosynthesis,K06125
Vitamin biosynthesis,K06126
Vitamin biosynthesis,K00591
Vitamin biosynthesis,K06127
Vitamin biosynthesis,K06134
Vitamin biosynthesis,K00591
Aromatic compound biosynthesis,5.4.4.2
Aromatic compound biosynthesis,4.2.99.21
Aromatic compound biosynthesis,4.2.1.10
Aromatic compound biosynthesis,4.2.1.10
Aromatic compound biosynthesis,1.1.1.25
Aromatic compound biosynthesis,2.7.1.71
Aromatic compound biosynthesis,2.5.1.19
Aromatic compound biosynthesis,4.2.3.5
Aromatic compound biosynthesis,2.5.1.54
Aromatic compound biosynthesis,3.2.3.4
Aromatic compound biosynthesis,4.2.1.10
Aromatic compound biosynthesis,1.1.1.25
Aromatic compound biosynthesis,2.7.1.71
Aromatic compound biosynthesis,2.5.1.19
Aromatic compound biosynthesis,4.2.3.5
Aromatic compound biosynthesis,2.7.2.4
Aromatic compound biosynthesis,1.2.1.11
Aromatic compound biosynthesis,2.2.1.10
Aromatic compound biosynthesis,1.4.1.24
Aromatic compound biosynthesis,4.2.1.10
Aromatic compound biosynthesis,1.1.1.25
Aromatic compound biosynthesis,2.7.1.71
Aromatic compound biosynthesis,2.5.1.19
Aromatic compound biosynthesis,4.2.3.5
Aromatic compound biosynthesis,2.7.2.4
Aromatic compound biosynthesis,1.2.1.11
Aromatic compound biosynthesis,4.3.3.7
Aromatic compound biosynthesis,1.13.12.3
Aromatic compound biosynthesis,3.5.1.4
Aromatic compound biosynthesis,4.2.1.84
Aromatic compound biosynthesis,3.5.1.4
Aromatic compound biosynthesis,3.5.5.1
Aromatic compound biosynthesis,2.6.1.1
Aromatic compound biosynthesis,2.6.1.27
Aromatic compound biosynthesis,4.1.1.74
Aromatic compound biosynthesis,1.2.3.7
Aromatic compound biosynthesis,4.1.1.28
Aromatic compound biosynthesis,4.1.1.105
Aromatic compound biosynthesis,1.4.3.4
Aromatic compound biosynthesis,1.2.3.7
Metallophore biosynthesis,K21898
Metallophore biosynthesis,K23446
Metallophore biosynthesis,K23447
Metallophore biosynthesis,5.1.1.10
Metallophore biosynthesis,5.1.1.12
Metallophore biosynthesis,6.3.2.58
Metallophore biosynthesis,6.3.2.57
Metallophore biosynthesis,K23371
Metallophore biosynthesis,K21949
Metallophore biosynthesis,K21721
Metallophore biosynthesis,K23372
Metallophore biosynthesis,K23373
Metallophore biosynthesis,K23374
Metallophore biosynthesis,K23375
Metallophore biosynthesis,2.7.1.225
Metallophore biosynthesis,2.5.1.140
Metallophore biosynthesis,1.5.1.51
Metallophore biosynthesis,6.3.2.54
Metallophore biosynthesis,4.1.1.117
Metallophore biosynthesis,6.3.2.55
Metallophore biosynthesis,6.3.2.56
Metallophore biosynthesis,K03897
Metallophore biosynthesis,K03896
Metallophore biosynthesis,K03894
Metallophore biosynthesis,K03895
Metallophore biosynthesis,1.14.13.59
Metallophore biosynthesis,2.3.1.102
Metallophore biosynthesis,6.3.2.38
Metallophore biosynthesis,6.3.2.39
Metallophore biosynthesis,5.1.1.10
Metallophore biosynthesis,5.1.1.24
Metallophore biosynthesis,2.5.1.152
Metallophore biosynthesis,1.5.1.52
Antibiotic biosynthesis,5.4.99.5
Antibiotic biosynthesis,4.1.1.100
Antibiotic biosynthesis,5.3.3.19
Antibiotic biosynthesis,5.3.3.19
Antibiotic biosynthesis,1.3.1.aa
Antibiotic biosynthesis,1.3.1.aa
Antibiotic biosynthesis,1.1.1.385
Antibiotic biosynthesis,6.3.2.49
Antibiotic biosynthesis,K18317
Antibiotic biosynthesis,K18316
Antibiotic biosynthesis,K18315
Antibiotic biosynthesis,K12673
Antibiotic biosynthesis,K12674
Antibiotic biosynthesis,K12675
Antibiotic biosynthesis,K12676
Antibiotic biosynthesis,2.5.1.66
Antibiotic biosynthesis,6.3.3.4
Antibiotic biosynthesis,1.14.11.21
Antibiotic biosynthesis,3.5.3.22
Antibiotic biosynthesis,1.14.11.21
Antibiotic biosynthesis,2.1.1.254
Antibiotic biosynthesis,1.14.13.154
Antibiotic biosynthesis,2.3.1.94
Antibiotic biosynthesis,1.14.15.35
Antibiotic biosynthesis,2.4.1.328
Antibiotic biosynthesis,2.4.1.278
Antibiotic biosynthesis,5.4.2.9
Antibiotic biosynthesis,4.1.1.82
Antibiotic biosynthesis,1.1.1.309
Antibiotic biosynthesis,2.7.7.104
Antibiotic biosynthesis,2.1.1.308
Antibiotic biosynthesis,1.11.1.23
Antibiotic biosynthesis,K18652
Antibiotic biosynthesis,K18653
Antibiotic biosynthesis,K18654
Antibiotic biosynthesis,1.1.1.361
Antibiotic biosynthesis,2.6.1.104
Antibiotic biosynthesis,3.1.3.92
Antibiotic biosynthesis,6.3.1.15
Antibiotic biosynthesis,2.1.1.284
Antibiotic biosynthesis,2.4.1.302
Antibiotic biosynthesis,2.1.1.285
Antibiotic biosynthesis,2.1.3.12
Antibiotic biosynthesis,4.2.3.124
Antibiotic biosynthesis,2.6.1.100
Antibiotic biosynthesis,1.1.1.329
Antibiotic biosynthesis,1.1.99.38
Antibiotic biosynthesis,2.6.1.101
Antibiotic biosynthesis,2.4.1.283
Antibiotic biosynthesis,3.5.1.112
Antibiotic biosynthesis,K12250
Antibiotic biosynthesis,K15907
Antibiotic biosynthesis,K18056
Antibiotic biosynthesis,K17747
Antibiotic biosynthesis,K18091
Antibiotic biosynthesis,K18057
Antibiotic biosynthesis,K17476
Antibiotic biosynthesis,4.2.3.7
Antibiotic biosynthesis,1.4.15.32
Antibiotic biosynthesis,1.14.11.35
Antibiotic biosynthesis,1.1.1.340
Antibiotic biosynthesis,1.14.13.170
Antibiotic biosynthesis,1.14.11.36
Antibiotic biosynthesis,1.14.19.8
Antibiotic biosynthesis,K21780+K21781
Antibiotic biosynthesis,K21782
Antibiotic biosynthesis,K21783
Antibiotic biosynthesis,K21784
Antibiotic biosynthesis,K21785
Antibiotic biosynthesis,K21786
Antibiotic biosynthesis,K21428
Antibiotic biosynthesis,K21778
Antibiotic biosynthesis,K21779
Antibiotic biosynthesis,K21787
Antibiotic biosynthesis,K13063
Antibiotic biosynthesis,K20261
Antibiotic biosynthesis,K06998
Antibiotic biosynthesis,K20260
Antibiotic biosynthesis,K20262
Antibiotic biosynthesis,K21103
Antibiotic biosynthesis,K20940
Antibiotic biosynthesis,2.1.1.327
Antibiotic biosynthesis,1.14.13.218
Antibiotic biosynthesis,K14266
Antibiotic biosynthesis,K19981
Antibiotic biosynthesis,K14257
Antibiotic biosynthesis,K19982
Antibiotic biosynthesis,K19969
Antibiotic biosynthesis,K20431
Antibiotic biosynthesis,K20432
Antibiotic biosynthesis,K20433
Antibiotic biosynthesis,K20434
Antibiotic biosynthesis,K20435
Antibiotic biosynthesis,K20436
Antibiotic biosynthesis,K20437
Antibiotic biosynthesis,K20438
Antibiotic biosynthesis,4.2.3.152
Antibiotic biosynthesis,5.1.3.33
Antibiotic biosynthesis,2.7.1.214
Antibiotic biosynthesis,2.6.1.M1
Antibiotic biosynthesis,2.7.7.91
Antibiotic biosynthesis,2.5.1.135
Antibiotic biosynthesis,3.1.3.101
Antibiotic biosynthesis,2.4.1.338
Antibiotic biosynthesis,1.14.11.52
Antibiotic biosynthesis,K20086
Antibiotic biosynthesis,K20087+K20088
Antibiotic biosynthesis,K20089
Antibiotic biosynthesis,K20090
Antibiotic biosynthesis,1.4.3.23
Antibiotic biosynthesis,1.21.98.2
Antibiotic biosynthesis,1.14.13.217
Antibiotic biosynthesis,1.14.13.224
Toxin biosynthesis,K11013
Toxin biosynthesis,K11014
Toxin biosynthesis,K11015
Toxin biosynthesis,K11028
Toxin biosynthesis,K11011
Toxin biosynthesis,K11012
Toxin biosynthesis,K10928
Toxin biosynthesis,K10929
Toxin biosynthesis,K10954
Toxin biosynthesis,K10952
Toxin biosynthesis,K11041
Toxin biosynthesis,K11063
Toxin biosynthesis,K11021
Toxin biosynthesis,K11014
Toxin biosynthesis,K11023
Toxin biosynthesis,K19298
Toxin biosynthesis,K11023
Toxin biosynthesis,K11024
Toxin biosynthesis,K11025
Toxin biosynthesis,K11026
Toxin biosynthesis,K11027
Toxin biosynthesis,K10948
Toxin biosynthesis,K11032
Toxin biosynthesis,K11038
Toxin biosynthesis,K11016
Toxin biosynthesis,K11017
Toxin biosynthesis,K11019
Toxin biosynthesis,K11039
Toxin biosynthesis,K11068
Toxin biosynthesis,K11139
Toxin biosynthesis,K11031
Toxin biosynthesis,K10953
Toxin biosynthesis,K11022
Toxin biosynthesis,K11033
Toxin biosynthesis,K11034
Toxin biosynthesis,K10814
Toxin biosynthesis,K10815
Toxin biosynthesis,K10816
Lipid degradation,K01046
Lipid degradation,K12298
Lipid degradation,K16816
Lipid degradation,K13534
Lipid degradation,K14073
Lipid degradation,K14074
Lipid degradation,K14075
Lipid degradation,K14076
Lipid degradation,K22283
Lipid degradation,K14452
Lipid degradation,K22284
Lipid degradation,K14674
Lipid degradation,K14675
Lipid degradation,K17900
Lipid degradation,K01054
Lipid degradation,K25824
Lipid degradation,3.1.1.3
Lipid degradation,3.1.1.34
Lipid degradation,3.1.1.34
Lipid degradation,3.1.1.79
Lipid degradation,3.1.1.116
Lipid degradation,3.1.1.23
Lipid degradation,3.1.1.79
Lipid degradation,K01897
Lipid degradation,K15013
Lipid degradation,K00232
Lipid degradation,K00249
Lipid degradation,K00255
Lipid degradation,K06445
Lipid degradation,K09479
Lipid degradation,K01692
Lipid degradation,K07511
Lipid degradation,K13767
Lipid degradation,K00022
Lipid degradation,K07516
Lipid degradation,K01825
Lipid degradation,K01782
Lipid degradation,K07514
Lipid degradation,K07515
Lipid degradation,K10527
Lipid degradation,K00632
Lipid degradation,K07508
Lipid degradation,K07509
Lipid degradation,K07513
Lipid degradation,6.2.1.3
Lipid degradation,1.3.8.8
Lipid degradation,4.2.1.17
Lipid degradation,1.1.1.35
Lipid degradation,2.3.1.16
Lipid degradation,1.3.8.8
Lipid degradation,4.2.1.17
Lipid degradation,1.1.1.35
Lipid degradation,2.3.1.16
Lipid degradation,1.3.8.8
Lipid degradation,4.2.1.17
Lipid degradation,1.1.1.35
Lipid degradation,1.1.1.211
Lipid degradation,2.3.1.16
Lipid degradation,5.3.3.8
Lipid degradation,4.2.1.74
Lipid degradation,6.2.1.5
Lipid degradation,1.3.8.7
Lipid degradation,4.2.1.17
Lipid degradation,1.1.1.35
Lipid degradation,2.3.1.174
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.176
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.176
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.14
Polysaccharide degradation,1.14.99.54
Polysaccharide degradation,1.14.99.56
Polysaccharide degradation,1.14.99.53
Polysaccharide degradation,1.14.99.54
Polysaccharide degradation,1.14.99.53
Polysaccharide degradation,1.14.99.54
Polysaccharide degradation,1.14.99.54
Polysaccharide degradation,1.14.99.56
Polysaccharide degradation,1.14.99.54
Polysaccharide degradation,1.14.99.56
Polysaccharide degradation,1.14.99.53
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.8
Polysaccharide degradation,3.2.1.21
Polysaccharide degradation,3.2.1.25
Polysaccharide degradation,3.2.1.45
Polysaccharide degradation,3.2.1.58
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.74
Polysaccharide degradation,3.2.1.75
Polysaccharide degradation,3.2.1.78
Polysaccharide degradation,3.2.1.91
Polysaccharide degradation,3.2.1.104
Polysaccharide degradation,3.2.1.123
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.149
Polysaccharide degradation,3.2.1.151
Polysaccharide degradation,3.2.1.164
Polysaccharide degradation,3.2.1.168
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.39
Polysaccharide degradation,3.2.1.52
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.146
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.91
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.176
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.8
Polysaccharide degradation,3.2.1.156
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.6
Polysaccharide degradation,3.2.1.21
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.74
Polysaccharide degradation,3.2.1.91
Polysaccharide degradation,3.2.1.151
Polysaccharide degradation,3.2.1.165
Polysaccharide degradation,3.2.1.8
Polysaccharide degradation,3.2.1.32
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.151
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,2.4.1.207
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.151
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.151
Polysaccharide degradation,3.2.1.78
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.8
Polysaccharide degradation,3.2.1.21
Polysaccharide degradation,3.2.1.25
Polysaccharide degradation,3.2.1.45
Polysaccharide degradation,3.2.1.58
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.74
Polysaccharide degradation,3.2.1.75
Polysaccharide degradation,3.2.1.78
Polysaccharide degradation,3.2.1.91
Polysaccharide degradation,3.2.1.104
Polysaccharide degradation,3.2.1.123
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.149
Polysaccharide degradation,3.2.1.151
Polysaccharide degradation,3.2.1.164
Polysaccharide degradation,3.2.1.168
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.39
Polysaccharide degradation,3.2.1.52
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.146
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.91
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.176
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.132
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.73
Polysaccharide degradation,3.2.1.8
Polysaccharide degradation,3.2.1.156
Polysaccharide degradation,3.2.1.4
Polysaccharide degradation,3.2.1.6
